carbs,sugar,fiber,protein,fat
46.88,27.56,0.71,6.3,16.27
59.35,30.37,1.3,5.63,18.75
14.95,14.92,0.0,5.11,5.01
54.63,43.38,2.06,4.65,7.09
32.24,22.34,0.32,7.05,10.12
44.06,42.53,1.07,0.54,0.21
10.84,10.3,0.0,7.96,12.19
41.53,26.53,0.58,2.34,12.04
34.08,20.48,1.01,3.95,4.78
14.81,14.52,0.08,4.31,11.15
11.71,11.69,0.0,4.16,17.02
46.15,41.54,0.0,0.0,0.0
60.26,29.12,1.6,6.61,11.01
56.09,26.69,1.28,5.7,14.44
42.19,23.47,0.78,5.63,23.02
37.92,31.43,1.12,5.48,28.46
30.74,29.18,1.13,0.15,0.29
46.55,21.69,1.59,6.9,23.0
26.41,26.13,0.0,3.43,12.58
64.82,23.31,1.57,6.03,17.98
33.93,24.68,1.9,4.62,1.0
61.25,40.86,0.75,3.0,21.25
41.4,21.3,1.81,7.78,22.7
16.31,12.07,0.14,5.29,7.93
58.0,21.73,1.37,5.33,24.92
27.01,18.33,0.68,4.78,6.02
18.77,14.93,0.29,6.87,8.95
36.39,19.96,1.13,3.92,12.66
57.98,30.29,1.05,5.79,19.38
36.15,31.67,1.7,4.27,5.45
31.99,19.7,0.43,6.78,8.91
44.63,26.33,0.69,9.18,4.74
14.6,10.87,0.17,4.84,4.05
16.27,14.42,0.11,5.94,9.82
53.19,52.63,0.0,5.94,0.0
15.02,14.98,0.0,4.97,4.87
58.41,24.77,2.65,5.43,15.0
36.02,27.36,1.93,4.7,0.94
52.94,28.08,0.85,4.49,12.68
15.02,14.41,0.07,2.08,13.11
39.54,25.0,0.52,9.13,5.51
37.01,36.46,1.32,0.46,0.2
69.17,61.86,3.74,2.43,0.7
55.24,29.76,2.02,4.23,19.33
26.22,17.34,0.33,4.24,13.5
32.34,28.61,0.0,0.14,0.03
28.27,27.84,0.02,1.52,1.92
29.04,18.83,0.72,6.06,7.87
15.61,14.38,0.26,1.68,4.17
62.11,42.63,0.75,3.63,11.01
33.15,32.38,0.0,13.0,17.86
53.99,38.99,2.79,5.1,19.12
34.48,21.35,0.54,6.09,8.46
48.29,27.45,1.49,5.49,16.88
77.32,74.73,0.95,0.27,0.05
27.43,10.08,0.64,2.58,8.72
36.01,35.55,0.0,10.46,8.2
44.69,31.62,1.06,2.51,3.93
14.78,12.86,0.0,7.71,11.19
28.8,15.03,0.37,4.98,9.17
55.01,32.27,0.82,3.2,23.75
37.64,37.29,0.43,0.23,0.04
44.95,43.9,1.37,0.47,0.29
29.06,19.72,0.29,4.49,19.01
21.77,18.17,0.13,6.87,9.07
71.64,71.64,0.0,0.19,25.37
19.36,16.88,0.15,2.88,13.22
21.84,20.37,0.06,1.84,12.29
33.55,31.31,0.93,1.01,0.15
45.14,27.58,0.64,6.01,15.18
28.27,27.84,0.02,1.52,1.92
17.22,15.31,0.0,6.37,10.86
43.06,18.27,1.88,7.57,27.16
30.68,10.68,0.81,6.12,17.45
38.27,37.44,2.2,0.32,0.15
16.35,11.77,0.27,5.51,5.38
50.38,47.99,1.67,0.69,0.27
43.1,25.84,0.62,5.29,20.63
55.24,21.64,2.0,6.26,12.73
14.2,12.31,0.22,6.8,9.73
44.74,28.18,0.59,5.18,19.83
16.02,15.81,0.08,5.27,2.89
11.19,11.15,0.0,5.01,5.07
30.88,30.43,0.17,9.82,27.96
25.79,25.4,0.01,1.38,1.75
39.59,37.85,0.49,7.85,13.41
26.09,24.12,0.07,2.03,53.23
61.72,59.82,0.0,3.21,24.77
34.71,9.52,0.71,3.3,12.48
62.43,59.88,0.0,3.22,20.8
47.84,6.22,1.58,6.72,25.04
13.43,11.67,0.0,6.95,10.02
51.56,24.16,1.01,5.88,17.09
35.17,27.69,1.33,1.54,8.87
36.16,25.27,0.63,4.73,13.59
11.24,11.18,0.01,1.57,2.11
48.88,48.88,0.0,0.15,0.06
23.62,23.58,0.0,0.01,0.01
55.84,25.0,1.88,5.71,21.78
67.95,17.65,0.0,0.13,0.07
59.7,22.42,1.9,6.05,22.01
39.48,23.52,1.22,4.94,12.87
43.45,34.2,0.32,6.66,13.19
24.51,23.92,0.73,5.86,17.68
35.11,21.17,0.44,3.88,8.16
22.93,12.57,0.76,4.37,4.91
50.96,50.84,0.58,0.17,0.17
26.21,22.88,0.12,6.7,11.1
35.73,22.16,0.8,3.15,11.91
62.89,45.47,3.55,7.18,15.51
27.63,11.39,0.66,4.88,14.52
23.13,21.02,0.51,5.04,18.49
20.62,19.04,0.31,0.28,0.11
12.26,11.6,0.0,4.15,16.96
14.09,13.35,0.0,3.15,9.43
28.62,11.09,0.87,2.29,8.21
52.14,22.19,1.5,6.25,19.7
19.92,17.73,0.47,3.11,20.99
14.21,13.45,0.0,2.69,18.15
20.46,18.88,0.69,0.96,4.51
2.96,2.18,0.42,1.44,66.12
15.04,3.1,2.16,4.91,4.58
12.89,0.31,0.56,1.83,72.11
3.76,1.95,1.53,6.1,7.02
30.74,0.86,5.44,5.08,16.51
6.48,4.68,1.9,0.91,0.3
31.86,2.51,4.95,8.24,4.8
4.74,1.07,2.36,1.69,7.25
9.13,8.21,0.8,3.59,5.89
6.24,1.82,2.96,8.43,8.14
3.06,2.09,0.76,9.22,9.27
0.84,0.13,0.67,8.27,7.7
3.54,0.31,1.05,4.52,72.61
22.5,2.39,2.42,7.38,7.72
5.99,0.44,3.02,1.9,8.13
10.93,0.35,1.94,2.59,71.51
1.73,0.78,0.91,4.14,43.83
6.93,2.09,2.33,3.22,4.03
7.98,0.26,1.61,1.45,74.6
29.1,4.1,2.33,8.2,12.8
7.27,6.71,3.0,4.19,2.07
21.51,1.29,5.61,5.59,8.8
3.13,2.11,0.69,13.52,9.57
4.58,3.34,0.88,2.99,1.99
2.56,2.08,0.61,0.39,0.14
23.87,0.79,18.62,8.19,9.91
21.69,18.68,3.41,1.07,1.12
4.35,0.26,1.75,1.91,70.4
5.31,4.11,2.19,4.13,1.76
15.42,1.66,1.03,11.88,12.65
4.95,1.56,2.15,1.02,4.22
2.65,0.46,1.86,8.57,14.08
3.03,0.29,1.98,10.54,14.26
4.65,0.22,1.41,2.65,89.83
4.85,0.33,0.37,0.64,22.48
5.59,3.62,2.34,1.24,5.32
14.11,2.36,7.99,5.67,6.61
5.33,1.39,3.13,2.79,4.11
15.96,9.78,1.58,0.91,1.22
17.02,16.11,4.29,1.75,12.66
13.59,11.5,2.07,3.36,4.39
16.46,1.39,4.19,4.73,6.63
19.98,4.78,4.73,6.1,6.84
17.49,1.43,1.78,2.19,3.61
12.32,0.29,0.6,1.75,83.1
2.7,2.7,0.0,0.03,0.01
12.01,3.3,1.02,3.19,1.33
11.99,2.06,1.98,2.66,4.32
19.16,3.81,4.03,11.44,8.89
11.53,8.98,6.35,3.02,51.71
4.23,1.07,4.62,2.24,12.98
11.6,5.99,0.8,5.84,6.47
3.4,2.59,1.02,0.69,67.6
0.51,0.24,0.71,14.86,13.68
1.35,1.08,0.24,10.29,12.21
3.4,1.97,0.55,3.36,6.45
3.04,2.13,0.62,6.33,6.77
3.11,1.4,1.88,11.25,8.43
3.45,1.13,1.74,5.21,13.31
7.1,1.05,2.72,2.79,3.6
21.18,1.6,2.9,5.32,9.51
7.14,0.19,0.62,1.01,79.82
17.96,1.13,2.12,2.63,7.46
9.14,8.89,0.88,3.21,8.47
9.7,7.49,1.5,6.99,8.81
41.34,2.98,7.56,8.98,15.95
1.94,1.44,0.61,1.18,43.8
29.76,4.81,3.11,10.31,8.84
9.3,7.11,1.89,8.59,8.98
30.68,4.78,4.95,13.45,5.28
24.33,3.77,4.0,7.98,14.62
7.86,7.07,0.65,4.86,2.43
1.1,0.6,0.81,12.93,13.52
6.55,4.31,2.2,1.26,3.24
43.4,3.35,7.13,9.16,3.61
3.45,1.44,1.96,4.79,12.22
8.23,7.87,0.89,3.9,2.14
4.13,2.2,2.34,1.58,1.62
5.43,5.21,0.2,0.37,0.04
18.11,1.42,2.33,7.38,13.04
7.98,4.61,1.23,5.11,4.49
4.65,3.56,1.27,2.86,13.14
4.68,0.2,1.02,1.96,76.38
19.57,3.71,2.45,5.61,4.53
6.09,1.26,1.84,8.21,9.36
3.27,1.98,0.4,2.39,72.06
15.44,1.97,1.86,3.07,6.36
3.56,0.9,0.31,0.99,1.63
4.71,0.83,0.06,1.41,24.35
12.87,0.53,2.35,5.12,60.08
8.74,1.7,3.38,3.93,5.66
14.52,0.33,1.71,1.53,2.35
1.19,0.54,1.57,11.47,12.02
5.1,1.03,2.54,8.25,11.44
16.47,3.41,2.24,3.52,47.91
35.65,1.0,6.31,5.88,3.56
4.81,0.63,0.18,2.21,72.57
3.96,0.92,4.09,1.53,7.73
5.47,0.8,1.44,0.79,51.79
6.72,5.66,0.97,1.41,2.62
4.39,0.35,2.2,3.53,74.02
18.49,1.86,1.62,6.74,11.56
5.52,1.08,0.89,3.27,76.05
8.26,1.21,2.01,1.34,5.7
6.99,2.39,1.66,2.38,17.62
6.35,5.22,0.86,4.04,2.08
18.56,2.14,3.31,3.16,9.51
31.32,18.86,5.37,6.58,25.18
2.77,0.17,0.29,3.36,69.69
8.76,1.11,0.62,1.98,59.81
28.03,1.81,2.26,5.17,11.47
10.14,0.29,1.96,2.08,81.69
7.19,1.41,3.35,2.77,4.66
5.68,2.05,1.13,2.98,70.28
7.31,3.86,0.47,3.39,10.51
4.02,1.96,2.1,1.1,5.75
18.84,1.15,4.68,3.73,9.47
2.76,2.99,1.09,1.65,0.64
19.11,0.17,0.98,1.95,1.37
21.55,1.99,2.69,3.44,2.58
8.77,5.2,0.39,2.6,3.22
9.89,7.92,0.4,2.95,2.97
10.55,10.09,0.19,3.52,5.35
65.08,11.65,5.12,7.45,8.53
13.0,6.08,0.52,1.86,78.93
25.9,2.09,1.77,7.66,10.51
22.79,4.04,1.18,7.6,23.96
22.49,20.45,1.48,0.17,0.37
30.61,1.79,1.29,9.83,24.28
25.78,15.83,1.82,5.88,17.3
15.67,7.31,0.28,3.62,4.04
7.98,4.32,0.14,3.36,11.76
10.03,9.87,0.07,4.53,5.37
21.38,2.74,0.73,5.66,20.71
34.26,4.05,2.1,7.75,12.54
30.42,9.79,1.31,3.35,16.83
23.14,10.46,0.7,3.89,11.16
12.76,12.12,1.17,2.71,6.81
7.11,7.08,0.0,1.86,2.52
14.16,5.95,0.31,4.45,15.81
12.39,7.54,0.7,3.75,4.08
9.13,8.9,0.06,3.01,8.93
24.58,19.4,1.25,0.86,0.31
16.2,1.5,0.56,5.55,14.96
14.62,11.35,0.71,2.51,2.99
25.07,22.85,1.65,0.88,0.48
23.12,7.12,0.6,3.42,33.55
62.61,37.76,4.43,8.93,22.76
64.08,0.7,5.23,10.34,8.43
8.07,8.01,0.03,4.67,4.97
32.93,3.91,2.13,5.75,4.32
40.64,21.08,4.08,6.66,12.47
39.44,22.01,2.45,6.25,34.97
21.1,3.4,0.4,5.85,7.48
29.16,1.86,1.88,8.69,15.8
9.73,9.28,0.51,2.87,3.8
20.06,15.36,1.14,2.39,7.3
62.47,32.93,4.96,8.89,17.27
13.64,10.51,0.7,2.78,6.68
38.93,24.76,2.35,3.96,12.27
10.05,8.02,0.17,2.3,2.97
28.42,3.24,1.74,9.84,14.24
9.02,8.86,0.0,3.43,4.61
17.56,11.77,0.62,1.71,54.64
38.13,2.53,2.27,5.14,13.31
9.38,9.25,0.06,0.14,0.03
9.11,9.03,0.09,2.09,7.09
17.42,6.61,1.02,2.61,1.43
33.29,0.17,2.18,5.41,48.22
40.23,25.59,2.65,8.35,17.68
45.09,7.22,1.68,6.15,22.39
11.3,10.39,0.12,3.21,4.7
20.73,7.85,1.21,3.79,7.01
20.06,9.95,0.67,1.17,42.53
9.18,9.11,0.23,1.93,2.8
34.43,33.37,3.08,12.21,24.09
45.18,6.82,2.14,6.06,20.75
7.65,7.48,0.34,5.64,2.96
13.51,10.11,1.0,4.13,2.07
15.57,7.28,0.37,3.62,3.99
53.12,15.75,5.43,5.21,17.9
11.34,10.71,0.51,2.14,3.18
30.62,3.42,1.95,5.79,12.43
7.95,7.12,0.1,5.04,3.36
6.51,6.51,0.0,1.29,0.68
9.15,7.96,0.26,1.84,2.37
27.32,16.47,1.65,6.98,15.29
40.06,24.28,3.95,9.49,36.28
5.48,5.47,0.02,0.03,0.01
20.87,4.5,1.09,5.04,8.71
10.0,9.63,0.55,2.7,3.86
33.61,0.81,1.25,4.69,31.99
42.9,20.76,3.64,5.78,27.16
8.15,8.06,0.02,4.78,5.11
25.67,25.19,3.06,0.25,0.19
65.04,26.54,4.51,10.8,8.33
6.62,6.53,0.0,1.75,2.14
31.38,20.16,1.65,2.4,12.59
39.64,30.66,2.56,4.29,3.42
50.9,27.32,6.69,5.68,27.03
8.78,8.49,0.55,3.04,3.95
10.44,10.12,0.63,2.76,3.86
25.72,0.22,1.25,2.6,0.18
15.88,12.88,0.51,3.43,4.2
53.65,29.73,6.83,8.27,19.34
20.49,3.32,0.65,5.68,10.82
15.67,7.31,0.28,3.62,4.04
51.33,19.92,5.11,10.12,22.7
60.0,31.12,6.02,9.84,18.41
48.14,43.08,4.09,9.31,36.84
60.34,38.12,4.57,7.65,24.98
15.87,12.79,0.5,3.35,5.0
9.53,8.99,0.0,6.85,18.16
11.15,9.94,0.27,2.01,2.77
66.87,25.89,7.62,10.81,3.03
23.77,12.23,2.37,5.11,2.79
21.63,3.73,0.56,5.02,17.78
24.67,13.98,1.86,2.16,13.38
9.66,8.51,0.71,3.98,2.07
34.93,3.44,1.18,5.76,17.5
9.0,4.22,0.14,4.33,10.84
32.15,31.5,3.5,8.81,34.63
16.0,5.94,0.38,4.7,15.48
13.9,2.74,0.11,10.45,10.36
23.19,13.84,1.44,3.26,1.06
14.4,10.63,0.38,3.13,7.66
29.69,15.89,2.18,3.81,7.69
46.59,28.44,3.41,11.19,22.41
16.87,14.63,2.13,1.22,0.21
32.12,12.96,1.89,3.13,11.39
10.8,4.51,0.33,9.51,15.24
48.02,19.79,4.27,5.44,25.45
11.14,11.01,0.52,3.4,7.62
9.23,9.01,0.0,3.36,4.56
34.53,18.06,2.35,7.18,21.36
5.99,5.88,0.17,0.07,0.02
8.29,4.22,0.13,3.98,12.17
29.18,17.42,1.64,1.53,3.48
6.13,5.59,0.16,4.62,2.19
41.07,19.41,2.23,4.15,0.64
